id,product_name,price,stock,vendor,date_added
1062,Netac N535S,450000,55,Netac Tech,11-08-2024
1063,Colorful SL500,420000,70,Colorful Indo,2024-11-15
1064,Galax RTX 3050,4500000,8,,2024-11-20
1065,Leadtek T1000,6500000,3,Leadtek Store,11/28/2024
1066,PNY Quadro T400,3500000,5,PNY Official,2024-12-01
1067,Orico HDD Dock,450000,25,Orico Store,2024-12-05
1068,UGREEN USB Hub,250000,100,UGREEN Official,12-12-2024
1069,Baseus GaN,550000,40,Baseus Indo,2024-12-18
1070,Anker PowerPort,750000,30,Anker Official,12/25/2024
1071,Aukey Wall,450000,45,Aukey Tech,2024-12-30
1072,Choetech PD,350000,60,Choetech Indo,2025-01-05
1073,Belkin Boost,850000,20,Belkin Official,01/10/2025
1074,Mophie Juice,1100000,12,,2025-01-15
1075,Apple MagSafe,950000,50,Apple Authorised,2025-01-22
1076,Samsung Wireless,750000,35,Samsung Parts,01-28-2025
1077,Xiaomi Mi Band 7,650000,80,Xiaomi Official,2025-02-02
1078,Huawei Band 8,550000,70,Huawei Store,2025-02-10
1079,Amazfit Bip 3,850000,40,Amazfit Indo,02/18/2025
1080,Garmin Forerunner,3500000,15,Garmin Official,2025-02-25
1081,Suunto 9 Peak,9500000,5,Suunto Store,2025-03-01
1082,Polar Vantage,7500000,8,Polar Official,03-08-2025
1083,Casio G-Shock,2500000,25,,2025-03-15
1084,Seiko 5 Sport,3800000,10,Seiko Indo,2025-03-22
1085,Fossil Gen 6,4500000,12,Fossil Official,03/28/2025
1086,TicWatch Pro,3500000,18,TicWatch Indo,2025-04-01
1087,Withings Steel,2800000,20,Withings Tech,2025-04-05
1088,Fitbit Charge 5,2100000,30,Fitbit Store,04-12-2025
1089,Wahoo Elemnt,4500000,7,Wahoo Official,2025-04-20
1090,Bryton Rider,1800000,15,Bryton Indo,04/28/2025
1091,Cateye Velo,350000,50,Cateye Store,2025-05-01
1092,Sennheiser HD600,6500000,4,Sennheiser Off,2025-05-10
1093,Beyerdynamic DT,3500000,9,,2025-05-15
1094,Audio Technica M50x,2800000,20,AT Official,05-22-2025
1095,AKG K701,4200000,6,AKG Indo,2025-06-01
1096,Shure SE215,1800000,35,Shure Store,06/08/2025
1097,FiiO K5 Pro,3200000,12,FiiO Official,2025-06-15
1098,Topping DX3,2800000,15,Topping Indo,2025-06-22
1099,Ifi Zen DAC,3500000,10,Ifi Audio,06-28-2025
1100,JDS Labs Atom,1800000,20,JDS Labs Store,2025-07-01
